Name,Loss Rate,Quantity Sold,Prize in 3 years,Laris/Tidak Laris
Honghu Lotus Root,24.05,745.55,16406.65,tidak laris
Lotus Root Tip,0.0,18.61,55.04,laris
Eggplant (2),6.07,13602.0,76597.02,laris
Green Eggplant (1),5.01,3516.76,18634.15,laris
Round Eggplant,0.32,7.66,28.16,laris
Dalong Eggplant,10.94,1167.22,6305.55,tidak laris
Hua Eggplant,6.98,101.38,727.14,laris
Changxianqie,6.9,2496.41,19015.33,laris
Green Eggplant (2),9.43,190.52,748.49,tidak laris
Eggplant (1),9.43,297.16,1378.34,tidak laris
Round Eggplant (1),9.43,4.98,30.83,tidak laris
Round Eggplant (2),6.71,1047.69,5451.74,laris
Red Hot Peppers,6.73,438.59,3929.41,laris
Green Hot Peppers,6.72,1186.53,7914.67,laris
Red Pepper (1),11.76,3457.87,31758.02,laris
Green Hangjiao (1),0.0,1.82,10.73,laris
Red Hang Pepper,9.99,658.56,8988.25,tidak laris
Paopaojiao (Jingpin),7.08,9703.13,73260.14,laris
7 Colour Pepper (1),15.98,263.19,3092.66,tidak laris
Green Hangzhou Pepper (2),9.0,128.5,943.66,laris
Bell Pepper (1),16.33,212.04,1376.78,tidak laris
Millet Pepper,5.86,1447.35,24991.73,laris
Luosi Pepper,10.18,7792.18,59547.76,laris
Red Line Pepper,7.71,27.71,251.67,laris
The Red Bell Pepper (1),8.93,278.61,2765.97,laris
Fruit Pepper (Orange),9.43,0.42,8.3,tidak laris
Wuhu Green Pepper (1),5.7,28164.33,150867.47,laris
Pepper Mix,9.43,641.0,1538.4,tidak laris
Wuhu Green Pepper (2),8.78,0.0,0.0,tidak laris
Xiaozhoupi,8.71,163.64,1371.4,laris
Yuganjiao,9.43,33.91,275.8,tidak laris
Lameizi,0.0,119.65,879.02,laris
Purple Hot Peppers,9.43,1.75,22.8,tidak laris
Purple Screw Pepper,0.0,6.84,87.3,laris
Fruit Chili,0.18,28.57,416.83,laris
Millet Pepper (Bag),9.43,10833.0,34112.37,laris
Green Hot Peppers (Bag),9.43,932.0,1635.61,tidak laris
7 Colour Pepper (Bag),9.43,18.0,60.21,tidak laris
Bell Pepper (Bag),9.43,6.0,11.34,tidak laris
Red Bell Pepper (Bag),9.43,13.0,35.23,tidak laris
